title,filename,software
"*","firefox.exe","Mozilla Firefox"
"*","WINWORD.EXE","Microsoft Word"
"*","EXCEL.EXE","Microsoft Excel"
"*Microsoft Edge","ApplicationFrameHost.exe","Microsoft Edge"
"*","explorer.exe","Windows Explorer"
"*","AoK HD.exe","Age of Empires II: HD Edition"
"*","mmc.exe","Windows Device Manager"
"*","LockApp.exe","Windows Lock Screen"
"*","Steam.exe","Steam Client Application"
"*","notepad++.exe","Notepad++"
"*","putty.exe","PuTTY"
"*","SearchUI.exe","Windows Start Menu"
"*","devenv.exe","Microsoft Visual Studio"
"Age of Empires: Definitive Edition","ApplicationFrameHost.exe","Age of Empires: Definitive Edition"
"Date and Time Information","ShellExperienceHost.exe","Windows Date and Time Information"
"*Windows PowerShell","unknown - Access is denied","Windows PowerShell"
"*","powershell.exe","Windows PowerShell"
"*","notepad.exe","Windows Notepad"
